ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
1,71.56968597866647,992.8028879186387,6548581.913637861,13759811.821850548,11469054.919371119,-17.040368160758195,-17.846531236403756,-17.648819080888213
2,1253.6775731989894,1364.1052123225747,6444664.094557931,13068099.080485467,11197235.16541988,-17.023000715518492,-17.79053104643859,-17.622776998498015
3,876.4877379595104,2076.071763035483,17505724.49991466,13991994.176232243,22644859.84810497,-18.107950223457276,-17.864699039269972,-18.387424092809862
4,1018.9850197965372,2112.745717880506,2807413.3410361856,5939430.939693028,5012871.971731832,-16.120765898450703,-16.934362092423477,-16.75021653228846
5,3407.1155436951026,2296.4353181247543,6686587.694039137,17596416.694743477,12594149.360795673,-17.063011361789123,-18.11356059451533,-17.750422098821478
6,3721.8127518941706,2445.5120164980194,17651989.619323973,14734818.644223057,22843686.687107652,-18.11698415844485,-17.920861987333222,-18.39691548740442
7,1848.1460606278392,3320.2964983740862,8240434.583947466,15408363.465044564,13701877.472015519,-17.289875290296614,-17.969391285984354,-17.841950198889396
