ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
1,71.55656791925445,992.8181021297737,4332581.472981016,8890876.671490924,8315874.095550699,-16.591866845622064,-17.372361465085685,-17.299769763450673
2,1253.637053448682,1364.0980974293882,4254815.366103058,8402364.923313377,8073271.459039364,-16.572201797524855,-17.31100384866421,-17.267623889068318
3,876.4461571940474,2076.1088816324673,11543208.992080914,9012821.560779972,16329379.654627506,-17.655816396793533,-17.387151932066576,-18.0324242160227
4,1018.9721624953027,2112.773932473849,1855359.2407035532,3831150.5911587616,3613840.847571551,-15.671070029015215,-16.458323057864177,-16.39492255612992
5,3407.117188083829,2296.44455700319,4417934.060344639,11374930.774142815,9088302.834438888,-16.61304807385768,-17.63987190574062,-17.396206974706562
6,3721.8209995826696,2445.50564642594,11677616.653650004,9556959.174746674,16561744.406117514,-17.668385535924692,-17.45079932700261,-18.047765194958558
7,1848.2117912805552,3320.3018006226566,5460527.71748299,9927114.170635203,9878124.947930744,-16.84308653978201,-17.492057541701843,-17.486686288076086
