ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
26,1442.1443847061312,731.7259162464429,554248.2921348776,457298.0318111582,795409.6842230982,-14.359260908875239,-14.150498330505101,-14.751477185694082
27,2530.9050073558524,812.8270839580795,405813.0233005044,489719.762411274,654935.5617945823,-14.020814950612152,-14.224869075304824,-14.540496431148533
28,1807.3204181559558,821.1138196055257,138683.03149147698,148076.09710036498,213724.89283337584,-12.85505831597746,-12.92621239756524,-13.32463776997
29,3021.784374241267,928.9354651199942,19215058.001050465,34805127.797521934,35475091.38993793,-18.209104249323083,-18.85410808185721,-18.874808807370616
30,1986.7178937499543,946.1860634694696,59097.42419836967,73719.29323163722,96461.99236969929,-11.928921380679752,-12.168952907147863,-12.460890569483796
31,2468.4438751848975,948.6156963613539,76147.00381382537,88528.92477707751,121790.7167652063,-12.204132049130186,-12.367712973883016,-12.71403546599474
32,1548.9816119645404,981.7397127079579,50967.61677804787,41026.49892979069,70206.89088509092,-11.768235816640933,-11.532661143115067,-12.115949351781012
33,492.89978537317756,985.635941986457,59228.27660926874,63208.85275801364,96525.02458260581,-11.931322739926951,-12.00194476986364,-12.461599802251191
34,3027.7666066372053,996.2841778097433,1315076.2514551654,1238204.2147136778,1974312.9857804342,-15.297377337627434,-15.231980694927511,-15.73854000510776
35,2437.093825050088,998.3469236102839,777456.8743044045,812871.9585319813,1198834.6518344902,-14.726690769902898,-14.775055355121777,-15.196898218906847
36,1352.4250007345902,1020.2423312394319,1190929.2402016732,1102879.437337353,1779655.0397308925,-15.189714895934328,-15.10632009895884,-15.625839571979991
37,2529.024963583105,1050.9855221922871,416905.3371698295,569699.8718313542,688162.2188176769,-14.050093637363412,-14.389115304377428,-14.594227063732435
38,528.5825890055064,1083.1811018233345,897736.4230107276,616246.1991019547,1108339.3561418722,-14.882872114400293,-14.474385634104136,-15.111681887295811
39,3087.387842117164,1091.8332726473702,47379.008582882874,9828.991455061827,24004.58289407706,-11.688964921914097,-9.98127239377354,-10.950735410070969
40,4042.835146660128,1113.9299649432835,139680.31204826088,105232.42477516504,194404.3845800287,-12.862837991460124,-12.555373943917235,-13.221765139354218
41,2151.764121088309,1181.1104418080643,410281.6502333157,410928.30542460224,625537.5483700791,-14.032705234163425,-14.03441514304471,-14.490633459176308
42,3606.393406459789,1194.4665087648686,192053.176866512,206644.4628194701,299906.3934868495,-13.208553738713736,-13.288059431385621,-13.692464310668091
43,3871.700342693126,1213.3626068455658,59964.59804828552,46860.96113511827,83865.32513844827,-11.944737317213253,-11.677027979719663,-12.308956087597284
44,2927.9161551813936,1215.959320929389,2996701.2577470513,3545365.0882846485,4792135.906981513,-16.19160862531642,-16.374152409561756,-16.70132281582331
45,240.52648268384567,1244.0065877627515,55546.73897711735,55675.533834509086,86533.20390716288,-11.861646418956632,-11.864160974694917,-12.342956959606601
46,2256.72188340138,1307.0141510713786,138293.61601096974,117921.81069125142,191635.13686309755,-12.85200533105417,-12.67898534791188,-13.206187853019017
47,3323.598824134735,1320.815679006798,259046.03997923736,344190.6760002291,423625.67255830765,-13.533442394102622,-13.841997753179776,-14.06745567835587
48,733.9010831385767,1336.8582630979938,3270877.374589695,3475843.121700027,5036829.750059262,-16.286660656752915,-16.352650417055564,-16.75539317878246
49,1743.8561943815005,1355.4796733125622,211783.31843154476,306187.9157715491,354254.8378364993,-13.314729372449856,-13.714970116319584,-13.87328947461949
50,3708.9473469799723,1358.8551976907654,1734182.4537521102,2048578.9971212945,2775164.408826712,-15.59773696942666,-15.778631789593252,-16.108221792728855
51,2274.6989655217894,1446.67223664456,50953.179171570926,59569.6482026265,79515.0644980357,-11.767928216371118,-11.937562588290206,-12.251123538892234
52,2495.6438139164466,1513.596492719863,142606.97814883967,203493.38789890846,237164.29512023414,-12.88535194312669,-13.271375755700754,-13.4376232673857
53,858.1494446143741,1541.6692665149144,71572.71998286573,62257.08435050631,101517.86286379816,-12.13686880512453,-11.985471944410387,-12.5163561662295
54,2796.243624145685,1543.876811679832,1299282.0308615435,2165372.1545512485,2273760.5267508356,-15.284258580439085,-15.838831369250375,-15.891861806786016
55,223.91776965026517,1572.4523074465485,92424.48510462168,123303.2538788435,154895.02400902286,-12.41446759951009,-12.727436343617889,-12.975093665764465
56,832.9700412277734,1596.7675435986177,3658611.1164053897,4046428.5964938425,5677084.300672962,-16.408290624034358,-16.51767970302845,-16.885313358095352
57,2994.2509275095567,1614.8803242131885,552178.1035051596,324430.94871582836,706385.0026350343,-14.355197951993945,-13.777805691340077,-14.622603675241768
58,1515.2893199024268,1645.9219702501182,92615.48096311244,111916.06772400765,146219.51571457228,-12.416708966027542,-12.622231106019864,-12.912513352921104
59,3573.865712164698,1646.7643986456287,84594.5162581047,104221.31785369292,137446.58414667659,-12.318355528282117,-12.544891401038864,-12.845334877824435
60,3117.6260057420327,1670.4300031249509,77964.06183048163,67162.20473233145,114946.16616636468,-12.229736143090996,-12.067812360690395,-12.651236226734888
61,1832.4969079202358,1685.2965806374586,71540.78042848298,50004.956753112376,96109.89316582587,-12.136384183743132,-11.747532640031464,-12.45692023624172
62,1709.5511712269097,1695.7183447292991,215523.9409832653,312548.82402192336,368775.28514869604,-13.33373879946014,-13.737294672976672,-13.916904518730497
63,2180.153297984163,1749.6125895927007,50134.82152200746,29524.67068680795,60500.82891895296,-11.750348683022247,-11.1754626556631,-11.954403312352703
64,2943.287135282552,1752.4142328174535,1314571.0115462146,1614119.4537968775,2128848.118777486,-15.29696012785508,-15.519839179442737,-15.820361695247094
65,1474.3818412505836,1759.4494843302084,50522.15903064422,18096.0344964643,48996.40955513157,-11.758704753909527,-10.643958538693974,-11.725410640503657
66,2221.702493149055,1782.299038947058,56522.667846608674,66339.1865015016,90746.71110386075,-11.880556630451778,-12.054425353967286,-12.394577235087784
67,2357.5233263815576,1790.1709397024954,1876671.861270692,1978444.584385165,2902702.1138321245,-15.68347085563748,-15.74080972579905,-16.157006172978296
68,3223.855404879749,1793.3444265236285,53359.05596164084,29508.31341786636,72187.98080901336,-11.81802034339394,-11.17486096900183,-12.146162235515217
69,546.2632456974194,1823.1309844962793,1207826.8382493593,1100418.061864865,1793846.3607408288,-15.205011688810202,-15.103894275322531,-15.634463109674591
70,1064.7225818290656,1861.428577955006,180387.77484326292,52106.66247739503,153354.7521362584,-13.140517753496825,-11.79223314184657,-12.964243095963806
71,3517.2885062050796,1992.6620834180765,64566.6425975656,76623.14558671694,101994.836785689,-12.025020510258829,-12.210899942431137,-12.521445468320485
72,3824.0893298220944,2008.1979582558865,47369.892197929206,55608.013339547906,71668.86331530847,-11.68875599095765,-11.862843449206197,-12.13832629128394
73,739.0836256352662,2008.8131376086872,586741.4865353848,393269.3612039224,796661.9800674366,-14.42111699204416,-13.986725281874948,-14.7531852284263
74,1000.108621008941,2040.6463599524302,11726531.990107806,18030865.068712432,20234258.211690176,-17.672923981642125,-18.14004140853587,-18.265218219437603
75,2243.324501505932,2065.4762868436337,32428126.911173206,67232375.87647069,60966951.938821286,-18.77730466002388,-19.568946146863908,-19.46273620720214
76,2362.472550152777,2122.6262458210226,72635.4056752263,58538.498414016794,100094.28925348911,-12.152870916116036,-11.918603945104762,-12.5010232502306
77,1396.8116158235264,2129.315295384904,57804.746431829,66021.95648797974,92345.42502122931,-11.904908751091096,-12.04922097505933,-12.413538461209699
78,894.5118878634657,2140.295974865423,4929892.501567855,6252403.95446378,7898668.72905891,-16.732093623504994,-16.990117572730952,-17.243884749636287
79,835.4726333233166,2166.5239450182225,-427129.43164654216,-303906.4646669198,-653172.3846510937,-14.076398744542828,-13.706849846113885,-14.537569537500941
80,3066.1725179983214,2214.847768517295,155488.18348863325,153338.88496618764,230341.14088130835,-12.979243474714579,-12.964130752185232,-13.40592878392508
81,1011.2254880802258,2217.0572074543406,43224680.20851891,86043127.51782463,78069310.70461684,-19.08932947223394,-19.83679046962584,-19.731200862190928
82,3118.629813338076,2235.2562401131836,1383040.0995753696,2238277.03671505,2413447.707873743,-15.35208693033807,-15.874784597874104,-15.956594733515626
83,1578.1275118454812,2247.221480737373,79395.45181707205,107616.85454557603,127835.67021595128,-12.24948906125277,-12.579700735549581,-12.766630131748078
84,3586.8957130842196,2263.304265069536,17820527.20817444,31762487.171902627,32295363.6470342,-18.127301370494294,-18.754786256643662,-18.77285044769809
85,1857.6302052578571,2276.6081707127473,7723446.325357892,9804305.424513789,12522609.459819265,-17.219527831832174,-17.47854207991881,-17.744237091338643
86,2924.650408085965,2285.199989063285,961555.3281431429,654989.9252262916,1244736.643444824,-14.957435696776699,-14.540586549779924,-15.237693687018607
87,3904.117239901668,2304.410854779607,48298.06778819882,50923.06655493844,72580.41305169323,-11.709824391800707,-11.767286371771979,-12.152048588552248
88,3595.275433526702,2329.3054733273193,89215.97630290495,126583.99757608818,150728.1185240331,-12.37610658097699,-12.755947016895497,-12.945485695164482
89,1464.7417951322918,2346.987151788282,73781.83912266552,21255.358058087062,64164.39119862113,-12.169873691162664,-10.818671063229818,-12.01823519492623
90,3585.1744279815416,2363.8158760516317,86214.17461797025,108724.67351131467,140490.2620006944,-12.338946686959813,-12.59082028049744,-12.86911555604882
91,1448.7647313214097,2395.324664264146,87642.84245937265,84475.15682299715,127812.5984671195,-12.356791135720131,-12.316822516722517,-12.766434160672578
92,1791.6583811872551,2416.692015511968,588261.8390069254,391756.80436462583,791506.249942543,-14.42392669071934,-13.98254137100311,-14.746135871289816
93,1541.5952868865973,2418.5837013730793,93439.35036726459,31044.36167364102,71443.90930909477,-12.426324525916609,-11.229956836049674,-12.13491302626746
94,2567.2923514791682,2438.223820726002,133296.26852166397,158264.76086058887,207702.27632555366,-12.812044980002515,-12.998460564675236,-13.293603140594003
95,631.2392159833312,2513.1906210466136,7846418.286417212,11011098.547241192,13055588.389405373,-17.236678640773846,-17.604576623770214,-17.789491123471645
96,746.9861770291659,2531.1523489623296,51799.53411717125,9104.578409390524,22287.66354608722,-11.785814634341287,-9.898149601105937,-10.870161357581647
97,1585.5547676723063,2541.925415135653,49496.28810031881,31101.616062419023,60772.760047319345,-11.736431577233198,-11.231957389669702,-11.959272401634326
98,2183.6306555806696,2603.689308066104,79816.54580381035,24761.927778095007,63230.353255644906,-12.25523232256374,-10.984461131443524,-12.002314020346297
99,484.3661166084997,2607.245139108588,1400032.7368732933,1382718.061544295,2118689.203284284,-15.3653454771906,-15.351834089467062,-15.815168133638416
100,2293.4056815655717,2631.687278472044,135732.41366773157,180037.07032224722,224707.3846455682,-12.831708930056813,-13.138404843019554,-13.379043362602365
101,2144.5899653327115,2647.952063180248,59562.458818877174,39970.17613689788,77985.78167231567,-11.937431544284836,-11.504340155183304,-12.230038573901616
102,2059.3178254479526,2655.247111344438,44491.28400291363,41074.30362701742,65998.33017177694,-11.62068734878984,-11.533925522872291,-12.048832368916905
103,3021.057094600133,2675.125014187852,82235.18474539433,62113.78835368389,117124.39048837172,-12.287644181057448,-11.982970044774106,-12.671618359617376
104,1408.825579688148,2683.435879118695,62631.04948330182,42838.48667108407,86825.03031606041,-11.991974222650528,-11.579585300940735,-12.34661235905563
105,1624.401841742559,2710.9838766176167,146249.1983726538,113319.48688511224,204882.1787672122,-12.912733735718245,-12.635761498377864,-13.278760459696745
106,2958.480066741453,2711.906109640681,629984.9052639337,752594.6513006403,1000462.0549324141,-14.498325359193018,-14.691402818646592,-15.0005015539049
107,781.1925128287802,2715.459941887858,741826.3647514157,678499.1402406003,1085256.3989350656,-14.675755660586711,-14.578873254200888,-15.088830888059835
108,1392.6787296471098,2717.6159564014233,8301489.541243885,11991870.341916488,13900688.56656203,-17.297890062718054,-17.697217310504783,-17.857590783594183
109,1854.235114377708,2718.170934345238,1356661.637098839,1260689.818737334,1978222.3445731415,-15.331178861108604,-15.251520613773122,-15.740687757579517
110,178.192901692349,2741.3213485633732,200066.88328577147,247329.391314324,323123.07312803576,-13.252938016486462,-13.483189321707577,-13.773419926570043
111,1879.323565163927,2777.328963445043,376527.0224697849,533241.8110787552,629290.1497487547,-13.939490374903436,-14.317310486929935,-14.497127334520304
112,3924.441464874349,2779.5466191450632,13222060.417772528,20953635.081338163,22826939.4217634,-17.80324784330977,-18.3031484404301,-18.396119215722635
113,1999.9001134946989,2783.9750337530904,167469.5076202543,123898.00111803133,228807.9018316241,-13.059839358614475,-12.732660749588028,-13.39867754661599
114,2044.740090804301,2824.525275711483,5485782.518762432,7487131.765016123,9037314.516398942,-16.848096465529277,-17.1857886907124,-17.390098492124082
115,1944.8773158876777,2876.718369350351,900378.9879985107,1277521.2862839745,1496263.8506807731,-14.886063378463422,-15.265920362894867,-15.43752045907316
116,2087.05951659094,2894.6014820833702,120460.13977243582,54765.579421760514,140701.2052795873,-12.702108406889707,-11.846269217201604,-12.870744544298162
117,899.9221055881233,2929.6170863085244,7974855.624840971,12718867.022862043,13834896.664642427,-17.254307073554255,-17.76112106687497,-17.852439799161676
118,44.117274184672304,2953.653531201409,1822883.5713532614,1368575.3520912034,2496556.772149429,-15.651897327241437,-15.34067178532351,-15.993353616094868
119,1299.3291625444776,2989.3147314459848,103424.49118142156,73838.46985275391,136345.143600679,-12.536558482423963,-12.170706720674684,-12.836599184168854
120,2183.612045718825,3012.907572778299,448670.96228201286,733666.0719136833,775429.3030854864,-14.12981990790464,-14.663746089422776,-14.723855521881319
